Measurement	Count	Measurement_type	source_file
TES_down_5kb	2803114	Tag count	TARGET-10-PANTTZ-09B-01R
TES_down_10kb	3898956	Tag count	TARGET-10-PANTTZ-09B-01R
CDS_Exons	42093950	Tag count	TARGET-10-PANUUF-09A-02R
5'UTR_Exons	2882539	Tag count	TARGET-10-PANUUF-09A-02R
3'UTR_Exons	23190300	Tag count	TARGET-10-PANUUF-09A-02R
Introns	49550096	Tag count	TARGET-10-PANUUF-09A-02R
TSS_up_1kb	300278	Tag count	TARGET-10-PANUUF-09A-02R
TSS_up_5kb	1236181	Tag count	TARGET-10-PANUUF-09A-02R
TSS_up_10kb	2243203	Tag count	TARGET-10-PANUUF-09A-02R
TES_down_1kb	533907	Tag count	TARGET-10-PANUUF-09A-02R
TES_down_5kb	1997317	Tag count	TARGET-10-PANUUF-09A-02R
TES_down_10kb	3240057	Tag count	TARGET-10-PANUUF-09A-02R
CDS_Exons	40053520	Tag count	TARGET-10-PANWEZ-09B-01R
5'UTR_Exons	3332429	Tag count	TARGET-10-PANWEZ-09B-01R
3'UTR_Exons	16975333	Tag count	TARGET-10-PANWEZ-09B-01R
Introns	132891064	Tag count	TARGET-10-PANWEZ-09B-01R
TSS_up_1kb	403943	Tag count	TARGET-10-PANWEZ-09B-01R
TSS_up_5kb	1463793	Tag count	TARGET-10-PANWEZ-09B-01R
TSS_up_10kb	2453854	Tag count	TARGET-10-PANWEZ-09B-01R
TES_down_1kb	863092	Tag count	TARGET-10-PANWEZ-09B-01R
TES_down_5kb	2958955	Tag count	TARGET-10-PANWEZ-09B-01R
TES_down_10kb	4433756	Tag count	TARGET-10-PANWEZ-09B-01R
CDS_Exons	24778746	Tag count	TARGET-10-PANXDB-03A-01R
5'UTR_Exons	1907707	Tag count	TARGET-10-PANXDB-03A-01R
3'UTR_Exons	14722600	Tag count	TARGET-10-PANXDB-03A-01R
Introns	70368401	Tag count	TARGET-10-PANXDB-03A-01R
TSS_up_1kb	400820	Tag count	TARGET-10-PANXDB-03A-01R
